,Unnamed: 0,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
0,6572,JB372136,nan,2018-07-30 19:10:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,07/30/2018 07:50:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,36,W,WACKER DR,111,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,2,7,41.887044478,-87.629308444,POINT (-87.629308443553 41.887044478059)
2,6596,JB372124,nan,2018-07-30 17:50:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/30/2018 06:18:00 PM,IMPROPER LANE USAGE,IMPROPER LANE USAGE,151,N,MICHIGAN AVE,114,,Y,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,2,7,41.884540111,-87.624308522,POINT (-87.62430852246 41.884540110592)
3,6623,JB372130,nan,2018-07-30 16:45:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,ONE-WAY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/30/2018 07:45:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,200,W,MADISON ST,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,2,7,41.88205499,-87.633899901,POINT (-87.633899901163 41.882054989975)
4,6644,JB388818,nan,2018-07-30 15:53:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",08/11/2018 11:52:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,200,N,CLINTON ST,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15,2,7,41.885757788,-87.641458281,POINT (-87.641458280852 41.885757788126)
5,6668,JB371704,nan,2018-07-30 15:05:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/30/2018 03:20:00 PM,FOLLOWING TOO CLOSELY,FAILING TO YIELD RIGHT-OF-WAY,77,W,WASHINGTON ST,112,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,7,41.88310054,-87.630331212,POINT (-87.630331211918 41.883100539502)
7,6687,JB371778,nan,2018-07-30 13:57:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,ONE-WAY,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/30/2018 03:50:00 PM,IMPROPER TURNING/NO SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,65,E,GRAND AVE,1834,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,2,7,41.89160065,-87.62543311,POINT (-87.625433109893 41.891600649869)
8,6690,JB372617,nan,2018-07-30 13:45:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/31/2018 09:30:00 AM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,75,E,WASHINGTON ST,112,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13,2,7,41.883115221,-87.625172509,POINT (-87.625172508734 41.883115221385)
9,6697,JB371742,nan,2018-07-30 13:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,6.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/30/2018 03:10:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,525,N,LA SALLE DR,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,2,7,41.891566894,-87.63243343100002,POINT (-87.632433430714 41.891566894424)
10,6703,JB371629,nan,2018-07-30 13:20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/30/2018 02:30:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,140,W,JACKSON BLVD,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,2,7,41.878245379,-87.632044874,POINT (-87.632044874167 41.878245378626)
11,6709,JB371623,nan,2018-07-30 12:50:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/30/2018 02:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,600,W,WASHINGTON BLVD,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,2,7,41.883281626,-87.64277375799999,POINT (-87.642773758485 41.883281625972)
